"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO_category"
"AD_cluster3_nodes","GO:1990173","protein localization to nucleoplasm","5/597","14/13115",0.000273065,0.018965611,0.018678174,"CCT7/CCT6A/TBRG1/CCT8/CCT2",5,"To be removed"
"AD_cluster3_nodes","GO:0001836","release of cytochrome c from mitochondria","9/597","49/13115",0.000316988,0.021623095,0.021295382,"GGCT/PSMD10/PDCD5/FAM162A/GHITM/MOAP1/TRIAP1/BNIP3/MLLT11",9,"To be removed"
"AD_cluster3_nodes","GO:0021762","substantia nigra development","8/597","40/13115",0.000371487,0.024896129,0.024518811,"CDC42/RAD1/ATP5PB/COX6B1/YWHAH/CALM2/CALM1/NDUFS3",8,"To be removed"
"AD_cluster3_nodes","GO:0051204","protein insertion into mitochondrial membrane","7/597","32/13115",0.000486364,0.032032955,0.031547474,"TOMM22/PDCD5/TIMM8A/TOMM70/MOAP1/TOMM20/TOMM5",7,"To be removed"
"AD_cluster3_nodes","GO:0090199","regulation of release of cytochrome c from mitochondria","8/597","42/13115",0.000526234,0.034071403,0.033555028,"PSMD10/PDCD5/FAM162A/GHITM/MOAP1/TRIAP1/BNIP3/MLLT11",8,"To be removed"
"AD_cluster3_nodes","GO:0000209","protein polyubiquitination","22/597","225/13115",0.000610156,0.038846591,0.038257844,"RNF216/BRCA1/RNF14/TRAF3IP2/CHFR/UBE2T/UBE2A/KLHL42/XIAP/SKP1/RNF146/TRIM32/KBTBD7/RNF6/ANAPC13/MKRN1/FBXO28/MARCHF6/KBTBD6/UBE2N/RNF41/PPIA",22,"To be removed"
"AD_cluster3_nodes","GO:0060315","negative regulation of ryanodine-sensitive calcium-release channel activity","4/597","10/13115",0.000716484,0.044144679,0.043475636,"FKBP1B/CALM2/GSTO1/CALM1",4,"To be removed"
"AD_cluster3_nodes","GO:1904851","positive regulation of establishment of protein localization to telomere","4/597","10/13115",0.000716484,0.044144679,0.043475636,"CCT7/CCT6A/CCT8/CCT2",4,"To be removed"
"ctrl_cluster1_nodes","GO:0099003","vesicle-mediated transport in synapse","37/491","205/13115",1.01e-15,3.78e-12,3.63e-12,"SYN1/AP2S1/AP3D1/ATP6AP1/STX1B/DNAJC5/SYP/VPS18/SLC17A7/NAPA/RAB3A/STX1A/DNM1/HPCA/NPY/PACSIN1/SYT5/SYT11/TOR1A/CPLX2/DOC2A/AP3S2/SV2A/ATP6V0D1/CALM3/AP2M1/CDK5/PRRT2/CLSTN1/SNCG/CDK5R1/AP2A2/ACTG1/PRKAR1B/AP2A1/ATP6V1G2/VAMP2",37,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0099504","synaptic vesicle cycle","33/491","185/13115",5.35e-14,1e-10,9.62e-11,"SYN1/AP2S1/AP3D1/ATP6AP1/STX1B/DNAJC5/SYP/VPS18/SLC17A7/NAPA/RAB3A/STX1A/DNM1/NPY/PACSIN1/SYT5/SYT11/TOR1A/CPLX2/DOC2A/AP3S2/SV2A/ATP6V0D1/CALM3/AP2M1/CDK5/PRRT2/SNCG/CDK5R1/ACTG1/PRKAR1B/ATP6V1G2/VAMP2",33,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0036465","synaptic vesicle recycling","19/491","77/13115",3.75e-11,4.67e-08,4.49e-08,"AP2S1/AP3D1/STX1B/SYP/SLC17A7/RAB3A/STX1A/DNM1/PACSIN1/SYT5/SYT11/TOR1A/AP3S2/CALM3/AP2M1/CDK5/SNCG/ACTG1/VAMP2",19,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0048488","synaptic vesicle endocytosis","17/491","67/13115",2.53e-10,2.36e-07,2.27e-07,"AP2S1/AP3D1/SYP/SLC17A7/STX1A/DNM1/PACSIN1/SYT5/SYT11/TOR1A/AP3S2/CALM3/AP2M1/CDK5/SNCG/ACTG1/VAMP2",17,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0140238","presynaptic endocytosis","17/491","69/13115",4.17e-10,3.12e-07,3e-07,"AP2S1/AP3D1/SYP/SLC17A7/STX1A/DNM1/PACSIN1/SYT5/SYT11/TOR1A/AP3S2/CALM3/AP2M1/CDK5/SNCG/ACTG1/VAMP2",17,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0016079","synaptic vesicle exocytosis","18/491","91/13115",5.75e-09,3.58e-06,3.44e-06,"SYN1/STX1B/DNAJC5/SYP/VPS18/NAPA/RAB3A/STX1A/NPY/SYT5/SYT11/CPLX2/DOC2A/SV2A/CALM3/CDK5/PRRT2/VAMP2",18,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0006836","neurotransmitter transport","23/491","175/13115",1.54e-07,8.21e-05,7.89e-05,"SYN1/STX1B/DNAJC5/SYP/VPS18/SLC17A7/NAPA/RAB3A/STX1A/NPY/SYNGR3/SYT5/SYT11/TOR1A/CPLX2/DOC2A/SV2A/CALM3/CDK5/PRRT2/SNCG/SLC6A17/VAMP2",23,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0016241","regulation of macroautophagy","21/491","153/13115",2.55e-07,0.000116731,0.000112194,"CAPN1/TBC1D25/PRKACA/MTMR8/GAPDH/OPTN/VPS26B/UCHL1/ATP13A2/ATP6V0D1/CDK5/PIP4K2C/SNX32/CDK5R1/GBA1/RNF41/ATP6V0C/UBQLN2/TECPR1/ATP6V1G2/PIP4K2B",21,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0007269","neurotransmitter secretion","19/491","129/13115",3.12e-07,0.000116731,0.000112194,"SYN1/STX1B/DNAJC5/SYP/VPS18/NAPA/RAB3A/STX1A/NPY/SYT5/SYT11/CPLX2/DOC2A/SV2A/CALM3/CDK5/PRRT2/SNCG/VAMP2",19,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0099643","signal release from synapse","19/491","129/13115",3.12e-07,0.000116731,0.000112194,"SYN1/STX1B/DNAJC5/SYP/VPS18/NAPA/RAB3A/STX1A/NPY/SYT5/SYT11/CPLX2/DOC2A/SV2A/CALM3/CDK5/PRRT2/SNCG/VAMP2",19,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0045055","regulated exocytosis","23/491","195/13115",1.08e-06,0.000368765,0.000354433,"SYN1/STX1B/DNAJC5/SYP/VPS18/NAPA/RAB3A/STX1A/NPY/SYNGR3/SYT5/SYT11/RAB11FIP5/ARHGAP17/CPLX2/DOC2A/DMTN/SV2A/CALM3/CDK5/PRRT2/SCAMP5/VAMP2",23,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:1903421","regulation of synaptic vesicle recycling","8/491","25/13115",2.25e-06,0.00069987,0.00067267,"STX1B/SLC17A7/SYT11/TOR1A/CALM3/AP2M1/CDK5/ACTG1",8,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0048499","synaptic vesicle membrane organization","8/491","26/13115",3.14e-06,0.000902789,0.000867702,"AP3D1/SYP/RAB3A/STX1A/TOR1A/CPLX2/DOC2A/PRRT2",8,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0016050","vesicle organization","31/491","336/13115",3.45e-06,0.000922582,0.000886726,"PTPRN/AP3D1/ATP6AP1/HOOK2/STX1B/SYP/VPS18/RAB3A/STX1A/AP1S1/DNM1/DLG4/SYT11/TMEM127/KIF13A/CPLX2/CHMP7/DOC2A/AP3S2/ATP13A2/ATP6V0D1/VPS11/AP2M1/PEF1/VPS39/PRRT2/ATP6V0C/ATP6V1G2/VAMP2/CHMP1B/PIP4K2B",31,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0016236","macroautophagy","29/491","307/13115",4.51e-06,0.001124802,0.001081087,"CAPN1/TBC1D25/PRKACA/MTMR8/GAPDH/OPTN/ARFIP2/RETREG2/CHMP7/VPS26B/UCHL1/ATP13A2/ATP6V0D1/CDK5/VCP/VPS39/PIP4K2C/SNX32/CDK5R1/GBA1/RNF41/ATP6V0C/UBQLN2/ATG9A/TECPR1/ATP6V1G2/PGAM5/CHMP1B/PIP4K2B",29,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0001505","regulation of neurotransmitter levels","21/491","184/13115",5.38e-06,0.001257612,0.001208735,"SYN1/STX1B/DNAJC5/SYP/VPS18/NAPA/RAB3A/STX1A/NPY/SYNGR3/SYT5/SYT11/TOR1A/CPLX2/DOC2A/SV2A/CALM3/CDK5/PRRT2/SNCG/VAMP2",21,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0050804","modulation of chemical synaptic transmission","34/491","417/13115",1.72e-05,0.003371964,0.003240913,"CX3CL1/SYN1/MAPK8IP2/NCDN/PRKACA/STX1B/SYP/VPS18/RAB3A/STX1A/DNM1/EFNB3/DBN1/NPY/PHF24/YWHAH/DLG4/SYT11/CLSTN3/ARF1/CPLX2/TMEM25/NRGN/CALM3/CHRNB2/CAMKV/CDK5/PRRT2/CHRM1/NPTX1/CLSTN1/SNCG/PRKAR1B/VAMP2",34,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0051588","regulation of neurotransmitter transport","13/491","86/13115",1.73e-05,0.003371964,0.003240913,"SYN1/STX1B/SYP/VPS18/RAB3A/STX1A/NPY/SYNGR3/SYT11/TOR1A/CPLX2/CALM3/SNCG",13,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0006906","vesicle fusion","15/491","112/13115",1.78e-05,0.003371964,0.003240913,"STX1B/VPS18/RAB3A/STX1A/SYT11/CPLX2/CHMP7/DOC2A/ATP13A2/VPS11/VPS39/PRRT2/VAMP2/CHMP1B/PIP4K2B",15,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0099177","regulation of trans-synaptic signaling","34/491","418/13115",1.8e-05,0.003371964,0.003240913,"CX3CL1/SYN1/MAPK8IP2/NCDN/PRKACA/STX1B/SYP/VPS18/RAB3A/STX1A/DNM1/EFNB3/DBN1/NPY/PHF24/YWHAH/DLG4/SYT11/CLSTN3/ARF1/CPLX2/TMEM25/NRGN/CALM3/CHRNB2/CAMKV/CDK5/PRRT2/CHRM1/NPTX1/CLSTN1/SNCG/PRKAR1B/VAMP2",34,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0090174","organelle membrane fusion","15/491","114/13115",2.21e-05,0.003936881,0.003783874,"STX1B/VPS18/RAB3A/STX1A/SYT11/CPLX2/CHMP7/DOC2A/ATP13A2/VPS11/VPS39/PRRT2/VAMP2/CHMP1B/PIP4K2B",15,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0048284","organelle fusion","17/491","145/13115",2.96e-05,0.004930217,0.004738605,"STX1B/VPS18/RAB3A/STX1A/MTCH2/SYT11/CPLX2/CHMP7/DOC2A/ATP13A2/VPS11/STOML2/VPS39/PRRT2/VAMP2/CHMP1B/PIP4K2B",17,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0060627","regulation of vesicle-mediated transport","35/491","447/13115",3.03e-05,0.004930217,0.004738605,"SYN1/AP2S1/ATP9A/STX1B/DNAJC5/SYP/NDRG4/VPS18/SLC17A7/RAB3A/STX1A/HPCA/NPY/PACSIN1/SYT5/DLG4/SYT11/TOR1A/ARF1/CPLX2/DOC2A/ATP13A2/CALM3/VPS11/AP2M1/LRPAP1/CDK5/PRRT2/MAP2K1/CDK5R1/ACTG1/UBQLN2/PRKAR1B/SCAMP5/VAMP2",35,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:1900242","regulation of synaptic vesicle endocytosis","6/491","18/13115",3.38e-05,0.005259205,0.005054807,"SLC17A7/SYT11/TOR1A/CALM3/AP2M1/ACTG1",6,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0061025","membrane fusion","17/491","147/13115",3.54e-05,0.005291517,0.005085863,"STX1B/VPS18/NAPA/RAB3A/STX1A/SYT11/CPLX2/CHMP7/DOC2A/ATP13A2/VPS11/VPS39/PRRT2/CHP1/VAMP2/CHMP1B/PIP4K2B",17,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0023061","signal release","30/491","367/13115",5.13e-05,0.007374999,0.007088371,"SYN1/NNAT/PTPRN/PRKACA/STX1B/DNAJC5/SYP/PORCN/VPS18/NAPA/RAB3A/STX1A/NPY/SYT5/SYT11/RAB11FIP5/RBP4/CPLX2/DOC2A/PFKM/SV2A/CALM3/UBE2Q1/CHRNB2/CDK5/STXBP4/PRRT2/C2CD2L/SNCG/VAMP2",30,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0006887","exocytosis","26/491","298/13115",5.53e-05,0.007662403,0.007364604,"SYN1/ATP9A/STX1B/DNAJC5/SYP/VPS18/NAPA/RAB3A/STX1A/NPY/SYNGR3/SYT5/SYT11/RAB11FIP5/ARHGAP17/CPLX2/DOC2A/DMTN/SV2A/ATP13A2/CALM3/VPS11/CDK5/PRRT2/SCAMP5/VAMP2",26,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0022411","cellular component disassembly","33/491","426/13115",6.31e-05,0.008426422,0.00809893,"CX3CL1/TBC1D25/NAPA/GSK3A/STMN1/OPTN/KLC1/ATP5IF1/ARFIP2/HMGA1/DENR/KATNB1/VPS54/RETREG2/CHMP7/DMTN/ATP13A2/APEH/CDK5/VCP/BLCAP/BMERB1/CFL1/GBA1/RNF41/STMN3/SPTAN1/ATG9A/DCTN1/TECPR1/PDXP/TWF2/CHMP1B",33,"To be removed"
"ctrl_cluster1_nodes","GO:0017156","calcium-ion regulated exocytosis","10/491","60/13115",6.91e-05,0.008627675,0.008292361,"STX1B/RAB3A/STX1A/SYT5/SYT11/ARHGAP17/DOC2A/CDK5/SCAMP5/VAMP2",10,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0046928","regulation of neurotransmitter secretion","11/491","72/13115",6.92e-05,0.008627675,0.008292361,"SYN1/STX1B/SYP/VPS18/RAB3A/STX1A/NPY/SYT11/CPLX2/CALM3/SNCG",11,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0035493","SNARE complex assembly","6/491","22/13115",0.000119407,0.014402076,0.013842341,"VPS18/STX1A/VPS11/VPS39/PRRT2/VAMP2",6,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0140029","exocytic process","11/491","77/13115",0.000129319,0.015000359,0.014417372,"STX1B/VPS18/NAPA/RAB3A/STX1A/CPLX2/DOC2A/DMTN/SV2A/VPS11/PRRT2",11,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0050808","synapse organization","32/491","424/13115",0.000132392,0.015000359,0.014417372,"CX3CL1/SYN1/CACNB1/DNAJA3/ICAM5/RAB3A/SPOCK2/CNTNAP1/EFNB3/STK38/DBN1/PCDHB10/PIN1/DLG4/CLSTN3/ARF1/CHRNB2/CAMKV/CDK5/VCP/RAC3/NPTX1/CLSTN1/SYNPO/CFL1/SNCG/SEZ6L2/CDK5R1/AMIGO1/ACTG1/TUBB/DCTN1",32,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0021700","developmental maturation","22/491","246/13115",0.000143276,0.015756137,0.015143776,"CX3CL1/PTPRN/AP3D1/ATP6AP1/PRKACA/ACTL6B/SYP/PPP2R1A/RAB3A/CNTNAP1/TUSC2/DLG4/TUT4/MTCH1/ATP6V0D1/RAC3/CLSTN1/SEZ6L2/CDK5R1/GBA1/YTHDF2/ATP6V1G2",22,"To be removed"
"ctrl_cluster1_nodes","GO:0046034","ATP metabolic process","19/491","198/13115",0.000162409,0.017349937,0.016675634,"NDUFAB1/PKM/ATP5F1B/GAPDH/ATP5IF1/ALDOA/NDUFC2/PFKM/ATP5MC3/ATP5MJ/HK1/ATP5MC1/VCP/STOML2/PGAM1/DNAJC30/PRKAG1/ATP6V0C/PGAM4",19,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0009205","purine ribonucleoside triphosphate metabolic process","20/491","221/13115",0.000243005,0.025238821,0.024257917,"NDUFAB1/PKM/ATP5F1B/GAPDH/ATP5IF1/RAN/ALDOA/NDUFC2/PFKM/ATP5MC3/ATP5MJ/HK1/ATP5MC1/VCP/STOML2/PGAM1/DNAJC30/PRKAG1/ATP6V0C/PGAM4",20,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","11/491","83/13115",0.00025532,0.025801117,0.02479836,"AP2S1/STX1B/PORCN/HPCA/DLG4/AP2M1/STXBP4/NPTX1/CLSTN1/AP2A2/AP2A1",11,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0090150","establishment of protein localization to membrane","21/491","242/13115",0.000304796,0.029411776,0.028268691,"ATP6AP1/STX1B/UBL4A/HPCA/OPTN/EMC1/EMC4/KIF13A/HYOU1/DMTN/CALM3/CDK5/CLSTN1/TOMM20/CDK5R1/ZDHHC22/SRPRA/CHP1/GET3/GDI1/VAMP2",21,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0007274","neuromuscular synaptic transmission","5/491","17/13115",0.000306782,0.029411776,0.028268691,"RAB3A/FCHSD2/VPS54/CHRNB2/CHRM1",5,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0016188","synaptic vesicle maturation","6/491","26/13115",0.000324375,0.029763805,0.028607038,"ATP6AP1/SYP/RAB3A/DLG4/ATP6V0D1/ATP6V1G2",6,"Synapse signaling"
"ctrl_cluster1_nodes","GO:0009144","purine nucleoside triphosphate metabolic process","20/491","226/13115",0.000326375,0.029763805,0.028607038,"NDUFAB1/PKM/ATP5F1B/GAPDH/ATP5IF1/RAN/ALDOA/NDUFC2/PFKM/ATP5MC3/ATP5MJ/HK1/ATP5MC1/VCP/STOML2/PGAM1/DNAJC30/PRKAG1/ATP6V0C/PGAM4",20,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0009141","nucleoside triphosphate metabolic process","21/491","245/13115",0.000359926,0.031837733,0.030600363,"NDUFAB1/PKM/ATP5F1B/GAPDH/ATP5IF1/RAN/ALDOA/NDUFC2/PFKM/ATP5MC3/ATP5MJ/HK1/ATP5MC1/VCP/STOML2/PGAM1/DNAJC30/DCTPP1/PRKAG1/ATP6V0C/PGAM4",21,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0009199","ribonucleoside triphosphate metabolic process","20/491","228/13115",0.000366147,0.031837733,0.030600363,"NDUFAB1/PKM/ATP5F1B/GAPDH/ATP5IF1/RAN/ALDOA/NDUFC2/PFKM/ATP5MC3/ATP5MJ/HK1/ATP5MC1/VCP/STOML2/PGAM1/DNAJC30/PRKAG1/ATP6V0C/PGAM4",20,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0010506","regulation of autophagy","25/491","319/13115",0.000406454,0.034539384,0.033197015,"CAPN1/TBC1D25/PRKACA/EEF1A2/MTMR8/PIM2/GSK3A/GAPDH/OPTN/VPS26B/UCHL1/ATP13A2/ATP6V0D1/CDK5/PIP4K2C/SNX32/CDK5R1/GBA1/RNF41/ATP6V0C/UBQLN2/PSAP/TECPR1/ATP6V1G2/PIP4K2B",25,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:1902600","proton transmembrane transport","13/491","117/13115",0.000429085,0.034956228,0.033597658,"UQCRC1/ATP6AP1/SLC25A3/ATP1A3/ATP5F1B/TACO1/ATP5MC3/ATP5MC1/ATP6V0D1/UQCRFS1/ATP6V0C/CHP1/ATP6V1G2",13,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0006897","endocytosis","34/491","492/13115",0.000430058,0.034956228,0.033597658,"EHD3/AP2S1/ATP9A/AP3D1/HOOK2/STX1B/SYP/SLC17A7/STX1A/AP1S1/DNM1/HPCA/PACSIN1/SYT5/DLG4/SYT11/TOR1A/FCHSD2/ARF1/AP3S2/CALM3/AP2M1/LRPAP1/CDK5/RAC3/SNCG/GRB2/AP2A2/ACTG1/UBQLN2/AP2A1/SCAMP5/NCKIPSD/VAMP2",34,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0017158","regulation of calcium ion-dependent exocytosis","7/491","38/13115",0.000454443,0.036152361,0.034747304,"RAB3A/STX1A/SYT5/SYT11/DOC2A/CDK5/SCAMP5",7,"To be removed"
"ctrl_cluster1_nodes","GO:0006163","purine nucleotide metabolic process","33/491","476/13115",0.000492442,0.038059886,0.036580693,"NDUFAB1/PDK2/PKM/KCNAB2/NT5C2/IDH3B/ATP5F1B/GAPDH/AMPD2/HPCA/ATP5IF1/ACLY/RAN/MDH2/PRPS1/ALDOA/NDUFC2/PFKM/ATP5MC3/ATP5MJ/HK1/ATP5MC1/VCP/STOML2/PGAM1/DNAJC30/PARP10/PRKAG1/ATP6V0C/NUDT11/FITM2/PGAM4/HTD2",33,"Mitochondrial energy production"
"ctrl_cluster1_nodes","GO:0031630","regulation of synaptic vesicle fusion to presynaptic active zone membrane","4/491","11/13115",0.000519137,0.038059886,0.036580693,"RAB3A/CPLX2/DOC2A/PRRT2",4,"To be removed"
"ctrl_cluster1_nodes","GO:0046479","glycosphingolipid catabolic process","4/491","11/13115",0.000519137,0.038059886,0.036580693,"HEXB/GBA2/GBA1/NEU1",4,"To be removed"
"ctrl_cluster1_nodes","GO:1901632","regulation of synaptic vesicle membrane organization","4/491","11/13115",0.000519137,0.038059886,0.036580693,"RAB3A/CPLX2/DOC2A/PRRT2",4,"To be removed"
"ctrl_cluster1_nodes","GO:0016082","synaptic vesicle priming","5/491","19/13115",0.000541794,0.038208075,0.036723123,"STX1B/NAPA/RAB3A/STX1A/SV2A",5,"To be removed"
"ctrl_cluster1_nodes","GO:0032412","regulation of monoatomic ion transmembrane transporter activity","19/491","218/13115",0.000551815,0.038208075,0.036723123,"MAPK8IP2/EHD3/CAPN1/CACNB1/PRKACA/THADA/HPCA/YWHAH/DLG4/TACO1/FXYD6/SCN2B/CALM3/CDK5/SCN3B/JSRP1/AMIGO1/CHP1/VAMP2",19,"cellular homeostasis"
"ctrl_cluster1_nodes","GO:0032984","protein-containing complex disassembly","19/491","218/13115",0.000551815,0.038208075,0.036723123,"TBC1D25/NAPA/STMN1/KLC1/HMGA1/KATNB1/CHMP7/DMTN/APEH/VCP/BMERB1/CFL1/GBA1/STMN3/SPTAN1/TECPR1/PDXP/TWF2/CHMP1B",19,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0007041","lysosomal transport","13/491","122/13115",0.000642713,0.043692819,0.041994703,"EHD3/AP3D1/HOOK2/VPS18/KIF13A/VPS54/CHMP7/ATP13A2/VPS11/VCP/VPS39/PSAP/CHMP1B",13,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0007034","vacuolar transport","15/491","154/13115",0.000663469,0.044298396,0.042576744,"EHD3/AP3D1/HOOK2/VPS18/KIF13A/VPS54/CHMP7/AP3S2/ATP13A2/ATP6V0D1/VPS11/VCP/VPS39/PSAP/CHMP1B",15,"intracellular trafficking"
"ctrl_cluster1_nodes","GO:0032409","regulation of transporter activity","20/491","241/13115",0.00074336,0.048761809,0.046866687,"MAPK8IP2/EHD3/CAPN1/CACNB1/PRKACA/THADA/HPCA/SYNGR3/YWHAH/DLG4/TACO1/FXYD6/SCN2B/CALM3/CDK5/SCN3B/JSRP1/AMIGO1/CHP1/VAMP2",20,"intracellular trafficking"
"ctrl_cluster2_nodes","GO:0048514","blood vessel morphogenesis","67/1063","473/13115",4.26e-06,0.02158718,0.020430371,"PLXND1/BAK1/HDAC9/PIK3CB/FOXC1/HIPK2/MYLK/TIE1/NOTCH3/BAX/NRCAM/MYH9/NFATC4/CD40/SMAD7/CTSH/TGFB1/RASIP1/HDAC5/RAPGEF2/SASH1/FGF1/EPAS1/AKT3/PLCG1/KDR/NINJ1/ROCK2/HEY2/NIBAN2/EGF/ACVRL1/PML/ERBB2/FKBP10/AKT1/EPHA2/HSPG2/SLIT2/NOTCH1/UBP1/ROBO4/ADAMTS1/S100A1/SHC1/ITGA5/PLCD3/NOS3/MAPK7/STAT3/EFEMP2/PTPRM/VEGFB/CSPG4/JUP/CD34/GLMN/CHRNA7/CLEC14A/CDH5/FOXO4/APOD/EPHB4/FLNA/PDGFA/NOTCH4/EMP2",67,"To be removed"
"ctrl_cluster2_nodes","GO:0048592","eye morphogenesis","25/1063","121/13115",1.08e-05,0.022865738,0.021640415,"BAK1/STAU2/HIPK2/BAX/RPGRIP1L/NAGLU/OLFM3/TBC1D20/KDR/GDF11/AHI1/NKD1/EPHA2/CRB2/NOTCH1/ROM1/THRB/HCN1/FAT3/TTC8/MFSD2A/STAT3/PTPRM/COL5A2/TENM3",25,"To be removed"
"ctrl_cluster2_nodes","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","28/1063","149/13115",2.14e-05,0.022865738,0.021640415,"CDH10/PIK3CB/CDH7/CDH9/NECTIN2/CNTN6/CDH24/CDH18/ESAM/CDH8/ROBO4/ROBO3/FAT3/PCDH7/PTPRM/CADM2/CDH5/ROBO2/PLXNB3/PCDHA8/PCDHA7/PCDHA4/PCDHA2/PCDHA1/TENM3/PCDHA10/PCDHA3/PECAM1",28,"To be removed"
"ctrl_cluster2_nodes","GO:1902742","apoptotic process involved in development","11/1063","32/13115",2.47e-05,0.022865738,0.021640415,"TNFRSF1B/BAK1/FOXC1/TNFRSF1A/BAX/CRYAB/SLIT2/NOTCH1/SCRIB/ROBO2/XKR4",11,"To be removed"
"ctrl_cluster2_nodes","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","37/1063","226/13115",2.88e-05,0.022865738,0.021640415,"CDH10/PIK3CB/WNK1/CDH7/FXYD5/CDH9/FGFRL1/NECTIN2/CNTN6/CDH24/CDH18/CRB2/ESAM/CDH8/ROBO4/ROBO3/UNC5D/ITGA5/FAT3/LRFN5/MAPK7/PCDH7/PTPRM/CADM2/CDH5/ROBO2/MBP/PLXNB3/PCDHA8/PCDHA7/PCDHA4/PCDHA2/PCDHA1/TENM3/PCDHA10/PCDHA3/PECAM1",37,"Neurogenesis"
"ctrl_cluster2_nodes","GO:0001525","angiogenesis","57/1063","407/13115",3.09e-05,0.022865738,0.021640415,"PLXND1/HDAC9/PIK3CB/FOXC1/HIPK2/TIE1/NOTCH3/NRCAM/MYH9/NFATC4/CD40/CTSH/RASIP1/HDAC5/SASH1/FGF1/EPAS1/AKT3/PLCG1/KDR/NINJ1/ROCK2/NIBAN2/EGF/ACVRL1/PML/ERBB2/AKT1/EPHA2/HSPG2/SLIT2/NOTCH1/UBP1/ROBO4/ADAMTS1/S100A1/SHC1/ITGA5/PLCD3/NOS3/MAPK7/STAT3/PTPRM/VEGFB/CSPG4/JUP/CD34/CHRNA7/CLEC14A/CDH5/FOXO4/APOD/EPHB4/FLNA/PDGFA/NOTCH4/EMP2",57,"To be removed"
"ctrl_cluster2_nodes","GO:0060042","retina morphogenesis in camera-type eye","14/1063","51/13115",3.63e-05,0.022865738,0.021640415,"HIPK2/RPGRIP1L/NAGLU/AHI1/CRB2/NOTCH1/ROM1/THRB/HCN1/FAT3/TTC8/MFSD2A/STAT3/PTPRM",14,"To be removed"
"ctrl_cluster2_nodes","GO:0007411","axon guidance","32/1063","187/13115",4.06e-05,0.022865738,0.021640415,"SEMA3F/PLXND1/CNTN1/EPHA3/NOTCH3/SEMA3A/EPHA6/EFNB1/NRCAM/HDAC6/VASP/CNTN6/EPHA7/NIBAN2/ERBB2/GDF7/SLIT2/EPHA5/NOTCH1/PTPRO/ROBO4/ROBO3/PLXNB1/TTC8/ARHGEF40/KIF5B/LAMB2/PTPRM/NRXN1/ROBO2/PLXNB3/CRPPA",32,"Neurogenesis"
